Model Year,Production (000),Adj CO2 (g/mi),Adj Fuel Economy (MPG),Weight (lbs),HP,Footprint (sq ft),Car Production,Truck Production,Alternative Fuel Vehicle Share of Production
1975,"10,224",681,13.1,4060,137,-,80.7%,19.3%,-
1976,"12,334",625,14.2,4079,135,-,78.9%,21.1%,-
1977,"14,123",590,15.1,3982,136,-,80.1%,19.9%,-
1978,"14,448",562,15.8,3715,129,-,77.5%,22.5%,-
1979,"13,882",560,15.9,3655,124,-,77.9%,22.1%,-
1980,"11,306",466,19.2,3228,104,-,83.5%,16.5%,-
1981,"10,554",436,20.5,3202,102,-,82.8%,17.2%,-
1982,"9,732",425,21.1,3202,103,-,80.5%,19.5%,-
1983,"10,302",426,21.0,3257,107,-,78.0%,22.0%,-
1984,"14,020",424,21.0,3262,109,-,76.5%,23.5%,-
1985,"14,460",417,21.3,3271,114,-,75.2%,24.8%,-
1986,"15,365",407,21.8,3238,114,-,72.1%,27.9%,-
1987,"14,865",405,22.0,3221,118,-,72.8%,27.2%,-
1988,"15,295",407,21.9,3283,123,-,70.9%,29.1%,-
1989,"14,453",415,21.4,3351,129,-,70.1%,29.9%,-
1990,"12,615",420,21.2,3426,135,-,70.4%,29.6%,-
1991,"12,573",418,21.3,3410,138,-,69.6%,30.4%,-
1992,"12,172",427,20.8,3512,145,-,68.6%,31.4%,-
1993,"13,211",426,20.9,3519,147,-,67.6%,32.4%,0.0%
1994,"14,125",436,20.4,3603,152,-,61.9%,38.1%,0.0%
1995,"15,145",434,20.5,3613,158,-,63.5%,36.5%,0.0%
1996,"13,144",435,20.4,3659,164,-,62.2%,37.8%,0.0%
1997,"14,458",441,20.2,3727,169,-,60.1%,39.9%,0.0%
1998,"14,456",442,20.1,3744,171,-,58.3%,41.7%,0.0%
1999,"15,215",451,19.7,3835,179,-,58.3%,41.7%,0.0%
2000,"16,571",450,19.8,3821,181,-,58.8%,41.2%,0.0%
2001,"15,605",453,19.6,3879,187,-,58.6%,41.4%,0.0%
2002,"16,115",457,19.5,3951,195,-,55.2%,44.8%,0.0%
2003,"15,773",454,19.6,3999,199,-,53.9%,46.1%,0.0%
2004,"15,709",461,19.3,4111,211,-,52.0%,48.0%,0.0%
2005,"15,892",447,19.9,4059,209,-,55.6%,44.4%,0.0%
2006,"15,104",442,20.1,4067,213,-,57.9%,42.1%,0.0%
2007,"15,276",431,20.6,4093,217,-,58.9%,41.1%,0.0%
2008,"13,898",424,21.0,4085,219,48.9,59.3%,40.7%,0.0%
2009,"9,316",397,22.4,3914,208,48.1,67.0%,33.0%,0.0%
2010,"11,116",394,22.6,4001,214,48.5,62.8%,37.2%,0.0%
2011,"12,018",397,22.4,4126,230,49.5,57.8%,42.2%,0.1%
2012,"13,448",375,23.7,3979,222,48.8,64.4%,35.6%,0.4%
2013,"15,198",366,24.3,4003,226,49.1,64.1%,35.9%,0.7%
2014,"15,512",366,24.3,4060,230,49.7,59.3%,40.7%,0.7%
2015,"16,739",358,24.8,4035,229,49.4,57.4%,42.6%,0.7%
2016 (prelim),-,347,25.6,3985,229,49.3,62.1%,37.9%,1.7%
